voltaje,angulo
0.06996960000000002,0
0.062231200000000014,10
0.053607200000000015,20
0.0398624,30
0.03406640000000001,40
0.03587360000000001,50
0.04428959999999999,60
0.057650400000000004,70
0.06566480000000001,80
0.06796880000000001,90
0.0614856,100
0.049836,110
0.0399144,120
0.03383520000000001,130
0.0355024,140
0.0415112,150
0.0559168,160
0.06338320000000001,170
0.06597760000000001,180
0.059038400000000005,190
0.050310400000000005,200
0.038993599999999996,210
0.03209200000000001,220
0.03392880000000001,230
0.0433256,240
0.05498800000000001,250
0.06326240000000001,260
0.06602640000000001,270
0.06104960000000001,280
0.04859759999999999,290
0.0386064,300
0.03302000000000001,310
0.034686400000000006,320
0.04566159999999999,330
0.0576432,340
0.06720240000000001,350
