angulo,voltaje
0,0.0363968
2,0.0339736
4,0.0299448
6,0.0260088
8,0.0233423999999999
10,0.0199527999999999
12,0.0170896
14,0.0147536
16,0.0121039999999999
18,0.0091175999999999
20,0.0061664
22,0.0040208
24,0.0031688
26,0.002536
28,0.0025888
30,0.0036032
32,0.0042896
34,0.005756
36,0.0061864
38,0.0089512
40,0.0111528
42,0.0152808
44,0.017652
46,0.0199144
48,0.0235487999999999
50,0.0259008
52,0.029244
54,0.0329752
56,0.0337144
58,0.0383959999999999
60,0.0408327999999999
62,0.0440183999999999
64,0.0448
66,0.0464847999999999
68,0.0479447999999999
70,0.0485895999999999
72,0.0490255999999999
74,0.0487543999999999
76,0.048128
78,0.0476375999999999
80,0.0457799999999999
82,0.0442815999999999
84,0.0418311999999999
86,0.0400888
88,0.0382191999999999
90,0.0334904
92,0.029924
94,0.0260591999999999
96,0.0230127999999999
98,0.0215047999999999
100,0.0184832
102,0.0163472
104,0.0129568
106,0.0108136
108,0.0083984
110,0.0072928
112,0.005872
114,0.0048239999999999
116,0.0039432
118,0.0035328
120,0.0037872
122,0.0046016
124,0.0057056
126,0.006528
128,0.0085528
130,0.0109752
132,0.0114983999999999
134,0.0150448
136,0.0190264
138,0.0212687999999999
140,0.0237047999999999
142,0.0277728
144,0.030164
146,0.0325952
148,0.0348032
150,0.039624
152,0.0408392
154,0.0423311999999999
156,0.0438135999999999
158,0.0443271999999999
160,0.0450671999999999
162,0.0457263999999999
164,0.0458223999999999
166,0.0453055999999999
168,0.0441319999999999
170,0.04264
172,0.040268
174,0.0396191999999999
176,0.0354624
178,0.0336304
180,0.030836
182,0.0294096
184,0.0252336
186,0.0230487999999999
188,0.0195079999999999
190,0.0163104
192,0.0137808
194,0.0113543999999999
196,0.009588
198,0.0068304
200,0.0059384
202,0.00442
204,0.0037448
206,0.0028792
208,0.002824
210,0.0030968
212,0.0041768
214,0.0057519999999999
216,0.0062375999999999
218,0.0086328
220,0.0116007999999999
222,0.0141552
224,0.0170648
226,0.0194576
228,0.0218727999999999
230,0.0259096
232,0.0288176
234,0.0315608
236,0.036936
238,0.0397567999999999
240,0.0416463999999999
242,0.0439423999999999
244,0.0466271999999999
246,0.0479375999999999
248,0.0494015999999999
250,0.0504296
252,0.0514984
254,0.051688
256,0.051404
258,0.0504336
260,0.0488287999999999
262,0.0472087999999999
264,0.0457879999999999
266,0.0424952
268,0.04
270,0.0388639999999999
272,0.0327416
274,0.0302008
276,0.0263624
278,0.0231151999999999
280,0.0199576
282,0.0161736
284,0.0136336
286,0.0118143999999999
288,0.0096952
290,0.0072936
292,0.0059431999999999
294,0.0043512
296,0.0038968
298,0.0033079999999999
300,0.0035304
302,0.0039496
304,0.0049344
306,0.0059767999999999
308,0.00776
310,0.009648
312,0.0121503999999999
314,0.0146088
316,0.0182528
318,0.0210399999999999
320,0.0242799999999999
322,0.0281952
324,0.030656
326,0.0327496
328,0.0355288
330,0.0389551999999999
332,0.041148
334,0.0437943999999999
336,0.0448271999999999
338,0.0463112
340,0.0477927999999999
342,0.0479847999999999
344,0.0482439999999999
346,0.0480911999999999
348,0.0466607999999999
350,0.0459351999999999
352,0.0445895999999999
354,0.0435471999999999
356,0.0408544
358,0.0380256
